algo,wrapper,seed,status,wall_time_s,n_episodes,framework_overhead_pct,mean_p99_step_ms,mean_energy_j,peak_gpu_memory_mb,peak_memory_mb,final_reward,time_to_converge_steps,reason
ddqn,r3,2,COMPLETED,1356.920966336038,690,95.56202189861305,8.670165078947324,0.0014876200000000005,0.0,0.0,183.9,554,
ddqn,tetrarl,0,COMPLETED,1197.9788386240252,269,95.65702481361247,8.375532774371111,0.00149722,0.0,0.0,389.9,225,
ddqn,tetrarl,1,COMPLETED,1225.9710111999884,377,95.76338159455985,8.700993318925612,0.0014801000000000005,0.0,0.0,150.0,342,
ddqn,tetrarl,2,COMPLETED,1219.5851988160284,382,95.6884256987801,8.63865984021686,0.0015167600000000005,0.0,0.0,69.0,183,
dqn,duojoule,0,COMPLETED,1189.0219067519647,459,95.56839606464426,7.654312616214158,0.0015172600000000005,0.0,0.0,372.5,413,
dqn,duojoule,1,COMPLETED,1193.4779610559926,577,95.55411246266823,7.930095096817243,0.0014877600000000003,0.0,0.0,79.4,193,
dqn,duojoule,2,COMPLETED,1194.7330967359594,766,95.58626415385483,7.985352039686406,0.0015011600000000005,0.0,0.0,80.2,139,
dqn,maxa,0,COMPLETED,1053.1435903360252,344,95.6791717108321,8.066471388447132,0.0014968800000000003,0.0,0.0,235.6,213,
dqn,maxa,1,COMPLETED,1056.9488780479878,455,95.68483586961804,8.078535069362268,0.0015003200000000007,0.0,0.0,95.8,271,
dqn,maxa,2,COMPLETED,1051.5215945919626,470,95.70025993703668,7.895208367262969,0.0015177800000000005,0.0,0.0,306.2,455,
dqn,maxp,0,COMPLETED,1060.9915001600166,344,95.76258848493225,8.146891162032263,0.0014968800000000003,0.0,0.0,235.6,213,
dqn,maxp,1,COMPLETED,1058.2190386240254,455,95.82492249609028,8.153516459278771,0.0015003200000000007,0.0,0.0,95.8,271,
dqn,maxp,2,COMPLETED,1047.5484039039584,470,95.6167860806148,7.880087320809257,0.0015177800000000005,0.0,0.0,306.2,455,
dqn,r3,0,COMPLETED,1193.8103417920065,459,95.6850379878726,7.901689550490124,0.0015172600000000005,0.0,0.0,372.5,413,
dqn,r3,1,COMPLETED,1201.726397216029,577,95.60937520311073,7.837097621522846,0.0014877600000000003,0.0,0.0,79.4,193,
dqn,r3,2,COMPLETED,1200.2867055680254,766,95.63576397741326,7.884863400831825,0.0015011600000000005,0.0,0.0,80.2,139,
dqn,tetrarl,0,COMPLETED,1060.2593538880465,344,95.75391636170468,8.072624267661029,0.0014968800000000003,0.0,0.0,235.6,213,
dqn,tetrarl,1,COMPLETED,1047.9255677440087,455,95.72059114895663,7.97160062240437,0.0015003200000000007,0.0,0.0,95.8,271,
dqn,tetrarl,2,COMPLETED,1060.2327330560074,470,95.60844397086491,8.62404159503059,0.0015177800000000005,0.0,0.0,306.2,455,
ppo,duojoule,0,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with ppo
ppo,duojoule,1,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with ppo
ppo,duojoule,2,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with ppo
ppo,maxa,0,COMPLETED,442.42611110396683,502,97.11389696189391,7.963235533097779,0.0014979000000000006,0.0,0.0,233.5,444,
ppo,maxa,1,COMPLETED,441.1414622720331,543,97.16399379269852,7.9351401346502834,0.0015091200000000003,0.0,0.0,271.9,461,
ppo,maxa,2,COMPLETED,440.5337873920216,504,97.1632403205906,7.862547811237168,0.0015042400000000007,0.0,0.0,201.6,467,
ppo,maxp,0,COMPLETED,437.13335875200573,502,97.13576079845983,7.939283261075619,0.0014979000000000006,0.0,0.0,233.5,444,
ppo,maxp,1,COMPLETED,438.751939551963,543,97.17229303993568,7.969562244252307,0.0015091200000000003,0.0,0.0,271.9,461,
ppo,maxp,2,COMPLETED,432.21882688003825,504,97.15772832298957,7.909729318344034,0.0015042400000000007,0.0,0.0,201.6,467,
ppo,r3,0,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with ppo
ppo,r3,1,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with ppo
ppo,r3,2,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with ppo
ppo,tetrarl,0,COMPLETED,441.0474352639867,502,97.15507455104148,8.047235516714863,0.0014979000000000006,0.0,0.0,233.5,444,
ppo,tetrarl,1,COMPLETED,438.5436333119869,543,97.13631323721008,7.897251488757321,0.0015091200000000003,0.0,0.0,271.9,461,
ppo,tetrarl,2,COMPLETED,313.28714569599833,504,96.41376440838204,6.851273584179582,0.0015042400000000007,0.0,0.0,201.6,467,
