frame_idx,timestamp_s,latency_ms
2118,10444970.871474,8.014
2119,10444970.903864,6.996
2120,10444970.937199,6.924
2121,10444970.970126,6.395
2122,10444971.003969,6.828
2123,10444971.037330,6.778
2124,10444971.070791,6.830
2125,10444971.103703,6.336
2126,10444971.137015,6.237
2127,10444971.170520,6.326
2128,10444971.205348,7.737
2129,10444971.237963,6.944
2130,10444971.271634,7.207
2131,10444971.304709,6.827
2132,10444971.337721,6.430
2133,10444971.370984,6.285
2134,10444971.404485,6.377
2135,10444971.438023,6.497
2136,10444971.471253,6.321
2137,10444971.504684,6.343
2138,10444971.538710,6.956
2139,10444971.571457,6.296
2140,10444971.604937,6.367
2141,10444971.638518,6.481
2142,10444971.673361,7.915
2143,10444971.705258,6.403
2144,10444971.739047,6.783
2145,10444971.771914,6.240
2146,10444971.806695,7.608
2147,10444971.839068,6.573
2148,10444971.873911,8.010
2149,10444971.906313,7.008
2150,10444971.941153,8.444
2151,10444971.973839,7.670
2152,10444972.006175,6.600
2153,10444972.040959,7.975
2154,10444972.074824,8.433
2155,10444972.107573,7.772
2156,10444972.139664,6.449
2157,10444972.172981,6.354
2158,10444972.206310,6.270
2159,10444972.239837,6.384
2160,10444972.273779,6.918
2161,10444972.306534,6.219
2162,10444972.340585,6.857
2163,10444972.373914,6.777
2164,10444972.406878,6.331
2165,10444972.440891,6.937
2166,10444972.475094,7.731
2167,10444972.507815,7.044
2168,10444972.540511,6.333
2169,10444972.573889,6.298
2170,10444972.607337,6.337
2171,10444972.640794,6.338
2172,10444972.676515,8.649
2173,10444972.709184,7.911
2174,10444972.741562,6.883
2175,10444972.776253,8.168
2176,10444972.808962,7.469
2177,10444972.841303,6.402
2178,10444972.876083,7.777
2179,10444972.908455,6.744
2180,10444972.943232,8.115
2181,10444972.976015,7.441
2182,10444973.008702,6.717
2183,10444973.041888,6.497
2184,10444973.075612,6.812
2185,10444973.109053,6.844
2186,10444973.142434,6.818
2187,10444973.175565,6.538
2188,10444973.208726,6.290
2189,10444973.242286,6.437
2190,10444973.276452,7.196
2191,10444973.309562,6.847
2192,10444973.342550,6.429
2193,10444973.376315,6.787
2194,10444973.410029,7.092
2195,10444973.442659,6.314
2196,10444973.476707,6.953
2197,10444973.510117,6.956
2198,10444973.543809,7.242
2199,10444973.576209,6.235
2200,10444973.609741,6.359
2201,10444973.643120,6.281
2202,10444973.676954,6.702
2203,10444973.710387,6.725
2204,10444973.743559,6.489
2205,10444973.777807,7.330
2206,10444973.812402,8.519
2207,10444973.845050,7.760
2208,10444973.877411,6.713
2209,10444973.912131,8.027
2210,10444973.944523,7.012
2211,10444973.979312,8.349
2212,10444974.012030,7.662
2213,10444974.044327,6.553
2214,10444974.078489,7.307
2215,10444974.115218,10.627
2216,10444974.145737,7.728
2217,10444974.179171,7.745
2218,10444974.212061,7.219
2219,10444974.248102,9.843
2220,10444974.278840,7.162
2221,10444974.311930,6.776
2222,10444974.346340,7.770
2223,10444974.379624,7.637
2224,10444974.414904,9.494
2225,10444974.446548,7.723
2226,10444974.479288,7.048
2227,10444974.514876,9.220
2228,10444974.547424,8.350
2229,10444974.579981,7.490
2230,10444974.613496,7.578
2231,10444974.647489,8.070
2232,10444974.681413,8.581
2233,10444974.716992,10.742
2234,10444974.748327,8.659
2235,10444974.780367,7.281
2236,10444974.813405,6.910
2237,10444974.846608,6.705
2238,10444974.880140,6.826
2239,10444974.914153,7.430
2240,10444974.947869,7.737
2241,10444974.979916,6.331
2242,10444975.015424,8.426
2243,10444975.048112,7.703
2244,10444975.080478,6.663
2245,10444975.115264,8.042
2246,10444975.147583,6.953
2247,10444975.182353,8.317
2248,10444975.215083,7.640
2249,10444975.247388,6.540
2250,10444975.282256,8.002
2251,10444975.314644,6.939
2252,10444975.347504,6.394
2253,10444975.381492,6.968
2254,10444975.414777,6.843
2255,10444975.447742,6.399
2256,10444975.481316,6.564
2257,10444975.514489,6.329
2258,10444975.547914,6.343
2259,10444975.581891,6.911
2260,10444975.614984,6.595
2261,10444975.648604,6.761
2262,10444975.681509,6.257
2263,10444975.715005,6.340
2264,10444975.748937,6.861
2265,10444975.782676,7.191
2266,10444975.815188,6.295
2267,10444975.849170,6.863
2268,10444975.882438,6.724
2269,10444975.915416,6.296
2270,10444975.948898,6.367
2271,10444975.982842,6.854
2272,10444976.016383,6.987
2273,10444976.050025,7.221
2274,10444976.085194,8.979
2275,10444976.117359,7.726
2276,10444976.150363,7.315
2277,10444976.184674,8.209
2278,10444976.218604,8.723
2279,10444976.253164,9.864
2280,10444976.285834,9.117
