step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
78,dvfs_controller_set,1018144,784,0
79,preference_plane_get,8544,164,0
79,tegra_daemon_sample,29632,204,0
79,rl_arbiter_act,54976,284,0
79,override_layer_step,9952,217,0
79,resource_manager_decide,12288,52,0
79,dvfs_controller_set,1018624,717,0
80,preference_plane_get,8480,164,0
80,tegra_daemon_sample,30272,204,0
80,rl_arbiter_act,54656,284,0
80,override_layer_step,9792,217,0
80,resource_manager_decide,12672,52,0
80,dvfs_controller_set,1040352,488,0
81,preference_plane_get,8544,164,0
81,tegra_daemon_sample,31392,204,0
81,rl_arbiter_act,53888,284,0
81,override_layer_step,9888,217,0
81,resource_manager_decide,12160,52,0
81,dvfs_controller_set,1016768,717,0
82,preference_plane_get,8576,164,0
82,tegra_daemon_sample,29952,204,0
82,rl_arbiter_act,53888,284,0
82,override_layer_step,10432,217,0
82,resource_manager_decide,12576,52,0
82,dvfs_controller_set,1010816,784,0
83,preference_plane_get,8352,164,0
83,tegra_daemon_sample,29888,204,0
83,rl_arbiter_act,85216,284,0
83,override_layer_step,10048,217,0
83,resource_manager_decide,12032,52,0
83,dvfs_controller_set,1041920,717,0
84,preference_plane_get,8384,164,0
84,tegra_daemon_sample,31072,140,0
84,rl_arbiter_act,55584,284,0
84,override_layer_step,10528,217,0
84,resource_manager_decide,12672,52,0
84,dvfs_controller_set,1048352,828,0
85,preference_plane_get,8544,164,0
85,tegra_daemon_sample,29792,516,0
85,rl_arbiter_act,54656,284,0
85,override_layer_step,9888,217,0
85,resource_manager_decide,12096,52,0
85,dvfs_controller_set,1064864,717,0
86,preference_plane_get,8096,164,0
86,tegra_daemon_sample,29376,204,0
86,rl_arbiter_act,53696,284,0
86,override_layer_step,10208,217,0
86,resource_manager_decide,12480,52,0
86,dvfs_controller_set,1016416,784,0
87,preference_plane_get,8352,164,0
87,tegra_daemon_sample,30240,204,0
87,rl_arbiter_act,53600,284,0
87,override_layer_step,10112,217,0
87,resource_manager_decide,12544,52,0
87,dvfs_controller_set,1259296,1056,0
88,preference_plane_get,8576,164,0
88,tegra_daemon_sample,48544,140,0
88,rl_arbiter_act,54752,284,0
88,override_layer_step,10272,217,0
88,resource_manager_decide,12704,52,0
88,dvfs_controller_set,1014368,717,0
89,preference_plane_get,8384,164,0
89,tegra_daemon_sample,29664,204,0
89,rl_arbiter_act,55712,284,0
89,override_layer_step,9856,217,0
89,resource_manager_decide,12256,52,0
89,dvfs_controller_set,1025728,784,0
90,preference_plane_get,8384,164,0
90,tegra_daemon_sample,29472,204,0
90,rl_arbiter_act,54144,284,0
90,override_layer_step,10272,217,0
90,resource_manager_decide,12192,52,0
90,dvfs_controller_set,1089408,717,0
91,preference_plane_get,8064,164,0
91,tegra_daemon_sample,30272,204,0
91,rl_arbiter_act,53920,284,0
91,override_layer_step,10272,217,0
91,resource_manager_decide,13056,52,0
91,dvfs_controller_set,1036896,583,0
92,preference_plane_get,8416,164,0
92,tegra_daemon_sample,29792,204,0
92,rl_arbiter_act,54368,284,0
92,override_layer_step,10176,217,0
92,resource_manager_decide,12128,52,0
92,dvfs_controller_set,1016672,717,0
93,preference_plane_get,8640,164,0
93,tegra_daemon_sample,44480,204,0
93,rl_arbiter_act,55072,284,0
93,override_layer_step,10304,217,0
93,resource_manager_decide,11968,52,0
93,dvfs_controller_set,1015296,717,0
94,preference_plane_get,8672,164,0
94,tegra_daemon_sample,29824,204,0
94,rl_arbiter_act,53408,284,0
94,override_layer_step,10240,217,0
94,resource_manager_decide,12512,52,0
94,dvfs_controller_set,1052864,717,0
95,preference_plane_get,9536,512,0
95,tegra_daemon_sample,30304,140,0
95,rl_arbiter_act,54432,284,0
95,override_layer_step,10112,217,0
95,resource_manager_decide,12640,52,0
95,dvfs_controller_set,1069536,717,0
96,preference_plane_get,9248,164,0
96,tegra_daemon_sample,30976,204,0
96,rl_arbiter_act,53600,284,0
96,override_layer_step,10528,217,0
96,resource_manager_decide,12576,52,0
96,dvfs_controller_set,1066400,650,0
97,preference_plane_get,8768,164,0
97,tegra_daemon_sample,30720,204,0
97,rl_arbiter_act,54048,284,0
97,override_layer_step,9152,284,0
97,resource_manager_decide,12672,52,0
97,dvfs_controller_set,1084896,583,0
98,preference_plane_get,8704,164,0
98,tegra_daemon_sample,29472,204,0
98,rl_arbiter_act,54176,284,0
98,override_layer_step,9792,284,0
98,resource_manager_decide,12992,52,0
98,dvfs_controller_set,1036448,717,0
99,preference_plane_get,9120,164,0
99,tegra_daemon_sample,30688,204,0
99,rl_arbiter_act,54816,284,0
99,override_layer_step,9504,284,0
99,resource_manager_decide,13184,52,0
99,dvfs_controller_set,1026144,583,0
100,preference_plane_get,8736,164,0
100,tegra_daemon_sample,30016,204,0
100,rl_arbiter_act,55360,284,0
100,override_layer_step,9792,284,0
100,resource_manager_decide,12096,52,0
100,dvfs_controller_set,1020608,516,0
101,preference_plane_get,8448,164,0
101,tegra_daemon_sample,29408,204,0
101,rl_arbiter_act,54048,284,0
101,override_layer_step,9984,217,0
101,resource_manager_decide,12256,52,0
101,dvfs_controller_set,1060288,516,0
102,preference_plane_get,8288,164,0
102,tegra_daemon_sample,29792,140,0
102,rl_arbiter_act,56000,284,0
102,override_layer_step,9504,284,0
102,resource_manager_decide,13024,52,0
102,dvfs_controller_set,1068160,516,0
103,preference_plane_get,8544,164,0
103,tegra_daemon_sample,29792,204,0
103,rl_arbiter_act,54048,284,0
103,override_layer_step,10048,217,0
103,resource_manager_decide,13184,52,0
103,dvfs_controller_set,1029952,516,0
104,preference_plane_get,8864,164,0
104,tegra_daemon_sample,29088,204,0
104,rl_arbiter_act,53440,284,0
104,override_layer_step,9152,284,0
104,resource_manager_decide,12640,52,0
104,dvfs_controller_set,1013248,516,0
105,preference_plane_get,8096,164,0
105,tegra_daemon_sample,29248,204,0
105,rl_arbiter_act,53408,284,0
105,override_layer_step,9344,284,0
105,resource_manager_decide,12736,52,0
105,dvfs_controller_set,1259840,751,0
106,preference_plane_get,8544,164,0
106,tegra_daemon_sample,29536,204,0
106,rl_arbiter_act,53376,284,0
106,override_layer_step,10112,217,0
106,resource_manager_decide,13088,52,0
