step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
64,tegra_daemon_sample,26432,140,0
64,rl_arbiter_act,10912,-7,0
64,override_layer_step,7200,116,0
64,resource_manager_decide,11264,116,0
64,dvfs_controller_set,21376,452,0
65,replay_buffer_add,228864,385,0
65,lag_feature_extract,84224,848,0
65,preference_plane_get,8576,156,0
65,tegra_daemon_sample,26080,140,0
65,rl_arbiter_act,11360,-7,0
65,override_layer_step,7168,116,0
65,resource_manager_decide,10944,116,0
65,dvfs_controller_set,21280,452,0
66,replay_buffer_add,244672,385,0
66,lag_feature_extract,82624,848,0
66,preference_plane_get,8224,156,0
66,tegra_daemon_sample,26528,140,0
66,rl_arbiter_act,11168,-7,0
66,override_layer_step,7456,116,0
66,resource_manager_decide,11104,116,0
66,dvfs_controller_set,20544,452,0
67,replay_buffer_add,223808,385,0
67,lag_feature_extract,81792,848,0
67,preference_plane_get,8480,156,0
67,tegra_daemon_sample,27264,140,0
67,rl_arbiter_act,11008,-7,0
67,override_layer_step,7584,116,0
67,resource_manager_decide,11168,116,0
67,dvfs_controller_set,21024,452,0
68,replay_buffer_add,227808,458,0
68,lag_feature_extract,83360,848,0
68,preference_plane_get,8352,156,0
68,tegra_daemon_sample,26432,140,0
68,rl_arbiter_act,10656,-7,0
68,override_layer_step,8128,420,0
68,resource_manager_decide,11360,52,0
68,dvfs_controller_set,21248,452,0
69,replay_buffer_add,229888,458,0
69,lag_feature_extract,84192,848,0
69,preference_plane_get,8256,156,0
69,tegra_daemon_sample,26848,140,0
69,rl_arbiter_act,11680,-7,0
69,override_layer_step,7136,116,0
69,resource_manager_decide,11552,116,0
69,dvfs_controller_set,20896,452,0
70,replay_buffer_add,219648,458,0
70,lag_feature_extract,86944,848,0
70,preference_plane_get,8416,156,0
70,tegra_daemon_sample,26688,140,0
70,rl_arbiter_act,10944,52,0
70,override_layer_step,7360,116,0
70,resource_manager_decide,10656,116,0
70,dvfs_controller_set,21664,452,0
71,replay_buffer_add,218880,458,0
71,lag_feature_extract,85440,848,0
71,preference_plane_get,7680,156,0
71,tegra_daemon_sample,27232,140,0
71,rl_arbiter_act,9984,52,0
71,override_layer_step,7328,116,0
71,resource_manager_decide,10912,116,0
71,dvfs_controller_set,21472,452,0
72,replay_buffer_add,228800,399,0
72,lag_feature_extract,105600,848,0
72,preference_plane_get,8416,156,0
72,tegra_daemon_sample,26848,140,0
72,rl_arbiter_act,10368,52,0
72,override_layer_step,7424,116,0
